index,prompt,brand,image_id,image_path
33,"365 Everyday Value, Organic Peanut Sauce, 10 oz",365 by Whole Foods Market,71paSv8m0aL,images/small/23/23c315fa.jpg
36,"AmazonBasics Satin Padded Blouse Hangers, Ivory, 30-Pack",AmazonBasics,71m+J7fdPxL,images/small/b2/b2509e9d.jpg
38,AmazonBasics Wallet Album for 120 Instax Mini Photos - Ice Blue,AmazonBasics,9149-9nXazL,images/small/0d/0d51371f.jpg
42,"AmazonBasics 10-12 Sheet Cross Cut Paper, Credit Card, and CD Shredder",AmazonBasics,81o2JSzKUfL,images/small/59/5970a1cc.jpg
43,"Amazon Brand - Mama Bear, Vegetarian Kids Black Elderberry Gummies 300 mg with Vitamins C, D, E and Zinc - Immune System Support - 60 Gummies (1 to 2 Month Supply), Non-GMO, Gluten Free",Mama Bear,712zZjKT21L,images/small/8d/8d2eca6f.jpg
46,"Eono Amazon Brand Large Foldable Laundry Baskets, Foldable Laundry Bags, Clothes Bag, blue, x-large",,910v-oJPcBL,images/small/ca/cadac533.jpg
49,"Rivet Corwin Modern Reactive-Glaze Stoneware 18-Piece Dinnerware Set, Service for 6, Atacama Blue",Rivet,91F+8sxDBIL,images/small/2e/2e65cae9.jpg
51,"Girls' Petite Sterling Silver Birthstone Open Heart Stud Earrings and 16"" Pendant Necklace Jewelry Set",Amazon Collection,71IORaOBEcL,images/small/ca/ca467cdf.jpg
54,"365 Everyday Value, Organic Ground Cloves Ground, 1.87 oz",365 Everyday Value,81jZydbkiML,images/small/1b/1bc585aa.jpg
56,"Amazon Essentials Sox Sandal, Natural, ((8.5 M) US",Amazon Essentials,61rVXhKPL6L,images/small/52/521925fe.jpg
58,Flavia Women's Grey Running Shoes-9 UK (41 EU) (10 US) (FKT/FB-02/GRY),Flavia,81-MQrHm48L,images/small/64/64ea51f9.jpg
60,"Whole Foods Market, Red Yeast Rice 600mg, 60 ct",Whole Foods Market,81OkQNG+LFL,images/small/32/32c46bfd.jpg
65,"365 EVERYDAY VALUE Artichoke Quarters, 14.1 OZ",365 Everyday Value,61NA2tqfFJL,images/small/60/605b6539.jpg
69,Ravenna Home Cross Flush Mounted Wooden Coffee Table,,716x3Zj2A-L,images/small/04/04350320.jpg
70,"Amazon Brand – Stone & Beam Sophia Modern Swivel Kitchen Bar Stool, 43.3""H, Merlot",Stone & Beam,61+H8ylAvNL,images/small/61/618f71c4.jpg
72,"Amazon Brand - Vedaka Black Peppercorn (Kali Mirch), 100g",Vedaka,91BGUMNNYYL,images/small/fc/fc3adc90.jpg
74,"Jamaican Style Salad, 12.98 oz",Amazon Kitchen,6161ONePWlL,images/small/fa/fac388ad.jpg
75,"365 Everyday Value, Milk Chocolate Jumbo Baking Chips, 10 oz",365 by Whole Foods Market,81M1lfo83RL,images/small/ee/ee047b4f.jpg
80,Flavia Women's Clutch (Kahki),Flavia,91UD+acsukL,images/small/d4/d42d1dcd.jpg
81,"Ravenna Home Alpine Upholstered High-Leg Recliner Chair, 39""W, Steel Blue",Ravenna Home,813IOmqHUKL,images/small/0c/0c0cc953.jpg
82,AmazonBasics Conscious Series Cool-Touch Rayon Bamboo Mattress Topper,AmazonBasics,7102QfoOs3L,images/small/a2/a2da1a93.jpg
84,Belini Women's Bs147 Tan Flip-Flops-3 UK (36 EU) (BS147TAN3),Belini,71VshnFCQZL,images/small/47/479d2a69.jpg
85,Amazon Collection Swarovski Zirconia Freshwater Cultured Pearl Platinum Plated Sterling Silver ka-buinpuratinaringu (1Cttw) Japanese Size 9 – (US Size 5),,81b8OR1WMUL,images/small/50/5027629e.jpg
86,AmazonBasics Shredder Paper and Credit Cards 8 Slotted Blades 0-9.9,AmazonBasics,61qv34m8+sL,images/small/73/734102ea.jpg
87,"AmazonBasics SX-75QTZ Enamelled Cast Iron Dutch Oven - 6.9 l , Purple",AmazonBasics,71D6HWwpZkL,images/small/90/90cd9cf3.jpg
90,"AmazonBasics Air Freshener Refill, Lavender, 1-Gallon, 144-Pack",AmazonBasics,51w3TAZkjTL,images/small/cb/cb9c61e2.jpg
92,"365 Everyday Value, Organic Apple Sauce, Unsweetened, 24 oz",365 by Whole Foods Market,81po3QWmAmL,images/small/59/59bc9ed2.jpg
93,"AmazonBasics 1500W Ceramic Personal Heater with Adjustable Thermostat, Black",AmazonBasics,81B6Aeux91L,images/small/9f/9f1b7d9b.jpg
94,"Wickedly Prime Organic Black Pu'erh Tea, Full-Leaf Bags, 15 Count",Wickedly Prime,91g1O26okqL,images/small/fd/fdd2c1f3.jpg
96,"Amazon Brand - Ravenna Home 4-Light Pendant Light with Faux Wood Accents, Vintage Edison Candelabra Bulbs Included, 62.4""H, Matte Black",Ravenna Home,61swV6XsvzL,images/small/e6/e6e22f77.jpg
98,"Amazon Collection Platinum Lycra Solid Sterling Silver Cubic Zirconia rukoniapurinsesukattoeta-nitexibandoringu, Size 9 ",,71rlpATXRML,images/small/c4/c4530e6e.jpg
99,"Whole Foods Market, CoQ10 200mg, 60 ct",Whole Foods Market,61ZMNZxc3mL,images/small/9f/9fe805fd.jpg
100,"Women's #_INNIS-S-10 Open Toe Sandals, Silver Sparkle, US 9",find.,61FpOYD70SL,images/small/aa/aa505e37.jpg
