prompt,filename,sha256,search_query,note
"A current South Korean 50,000 won banknote front side",13.jpg,70278c7643bb19eeb67e4094ed869d6fadc59df323295285ad4e3b7db15b362e,"A current South Korean 50,000 won banknote front side",User must manually select an appropriate image from search results
A current German Autobahn no-speed-limit sign,14.jpg,6fbc5699d682f3d6599d151a8ae68caccb6c6e3d48509ece44f2c04ed3cb4ecc,A current German Autobahn no-speed-limit sign,User must manually select an appropriate image from search results
A current London black cab seen from the front,15.png,ae93070209f7bf7630ca988e3968dbc64dc5ad4634820e7efca94c8566401b21,A current London black cab seen from the front,User must manually select an appropriate image from search results
A current South Korean electric vehicle license plate,16.jpg,e938ed52182cb1fe4a84142a5d43e1667c38166d173bf79b3f0444f7f8a7e262,A current South Korean electric vehicle license plate,User must manually select an appropriate image from search results
A Beefeater guard at the Tower of London in formal uniform,17.jpg,a1a028d420424652547e594c40a6fea24d78a39f44613ac8818d89cfa5e368d7,A Beefeater guard at the Tower of London in formal uniform,User must manually select an appropriate image from search results
A current London Underground roundel sign,18.png,778845e3319d8e04608a9b97a9aac67a4d95206d042ceee3c87a1493e133016d,A current London Underground roundel sign,User must manually select an appropriate image from search results
A current Paris Metro entrance sign,19.jpeg,30d3825ae04809a2b9d49cddc466de8aaeadc60d1879c51a7e125feb666cddbc,A current Paris Metro entrance sign,User must manually select an appropriate image from search results
A current Royal Mail post box in the United Kingdom,20.jpg,61b9b3ad5409b5538bf07dcdb95d71ab713dd16c4931e8da43845c481d62034b,A current Royal Mail post box in the United Kingdom,User must manually select an appropriate image from search results
A current Deutsche Post mailbox in Germany,21.webp,0c559e25162f384211b66ab114b4e96e8786794e1dae9608f0e8b629676dc9ad,A current Deutsche Post mailbox in Germany,User must manually select an appropriate image from search results
The front side of an Indian 500-rupee banknote in 2026,22.jpg,ef0e99a99172ed86150a9a649481a262f80fa484fde71862e2d4d2ddc6bb3502,The front side of an Indian 500-rupee banknote in 2026,User must manually select an appropriate image from search results
The front side of an Indian passport cover issued in 2026,23.png,5647289038e9411798650c69e902e32b3eb2a93aafa36677787e5274f8074820,The front side of an Indian passport cover issued in 2026,User must manually select an appropriate image from search results
A current Thai tuk-tuk in Bangkok,24.jpg,530be616f71d14875fbab0868eaef7676c54415ac727566bce1afe9d461e70f9,A current Thai tuk-tuk in Bangkok,User must manually select an appropriate image from search results
A current Singapore ERP gantry sign,25.jpeg,1159c3ef02a665edacc6adab4a7766275e3c154688e7464f8ef338b22b2c0a9b,A current Singapore ERP gantry sign,User must manually select an appropriate image from search results
The front side of a Turkish passport cover in 2026,26.jpeg,455e88537f2e1eeb9e34912a22a901aaaf59903855e4ab25121f6ff3a17ef556,The front side of a Turkish passport cover in 2026,User must manually select an appropriate image from search results
A U.S. school bus stop sign arm extended from the side of the bus,27.jpeg,e7baeba67c7c375d8c4c781dce8043b10c9580153c9b9bde91cda5481c64ff12,A U.S. school bus stop sign arm extended from the side of the bus,User must manually select an appropriate image from search results
A galaxy fold 7,28.jpg,b85a13fc745223f2958c20dc4382e1201b002451ec00cbe5bd63850744fe65b2,A galaxy fold 7,User must manually select an appropriate image from search results
A current U.S. pedestrian signal showing the orange upraised hand and number,29.jpg,79ac7da8e45674da84b2b84b725f3a2899895c268d44d1ff586328294f4cd0a2,A current U.S. pedestrian signal showing the orange upraised hand and number,User must manually select an appropriate image from search results
"The front side of a Japanese 10,000 yen banknote in 2026",30.jpg,f8368cdeb311267f6630af3afc5bea62ba30665de0a4ad1c2a279c33c8d590ff,"The front side of a Japanese 10,000 yen banknote in 2026",User must manually select an appropriate image from search results
